CustomerID,Genre,Age,Monthly_income
1,Male,19,15000
2,Male,21,15000
3,Female,20,16000
4,Female,23,16000
5,Female,31,17000
6,Female,22,17000
7,Female,35,18000
8,Female,23,18000
9,Male,64,19000
10,Female,30,19000
11,Male,67,19000
12,Female,35,19000
13,Female,58,20000
14,Female,24,20000
15,Male,37,20000
16,Male,22,20000
17,Female,35,21000
18,Male,20,21000
19,Male,52,23000
20,Female,35,23000
21,Male,35,24000
22,Male,25,24000
23,Female,46,25000
24,Male,31,25000
25,Female,54,28000
26,Male,29,28000
27,Female,45,28000
28,Male,35,28000
29,Female,40,29000
30,Female,23,29000
31,Male,60,30000
32,Female,21,30000
33,Male,53,33000
34,Male,18,33000
35,Female,49,33000
36,Female,21,33000
37,Female,42,34000
38,Female,30,34000
39,Female,36,37000
40,Female,20,37000
41,Female,65,38000
42,Male,24,38000
43,Male,48,39000
44,Female,31,39000
45,Female,49,39000
46,Female,24,39000
47,Female,50,40000
48,Female,27,40000
49,Female,29,40000
50,Female,31,40000
51,Female,49,42000
52,Male,33,42000
53,Female,31,43000
54,Male,59,43000
55,Female,50,43000
56,Male,47,43000
57,Female,51,44000
58,Male,69,44000
59,Female,27,46000
60,Male,53,46000
61,Male,70,46000
62,Male,19,46000
63,Female,67,47000
64,Female,54,47000
65,Male,63,48000
66,Male,18,48000
67,Female,43,48000
68,Female,68,48000
69,Male,19,48000
70,Female,32,48000
71,Male,70,49000
72,Female,47,49000
73,Female,60,50000
74,Female,60,50000
75,Male,59,54000
76,Male,26,54000
77,Female,45,54000
78,Male,40,54000
79,Female,23,54000
80,Female,49,54000
81,Male,57,54000
82,Male,38,54000
83,Male,67,54000
84,Female,46,54000
85,Female,21,54000
86,Male,48,54000
87,Female,55,57000
88,Female,22,57000
89,Female,34,58000
90,Female,50,58000
91,Female,68,59000
92,Male,18,59000
93,Male,48,60000
94,Female,40,60000
95,Female,32,60000
96,Male,24,60000
97,Female,47,60000
98,Female,27,60000
99,Male,48,61000
100,Male,20,61000
